species,contaminant,dataset,concentration
micropogon undulatus,mercury,hall,33.84375
micropogonias undulatus,mercury,adams,39.0625
micropogonias undulatus,mercury,karimi,44.2089850888439
microstomus pacificus,arsenic,hall,372.8666666666666
microstomus pacificus,cadmium,hall,10.714285714285715
microstomus pacificus,lead,hall,17.5
microstomus pacificus,mercury,hall,68.57812499999999
microstomus pacificus,mercury,karimi,67.9875
mola mola,mercury,adams,12.5
morone americana,arsenic,hall,127.41333333333333
morone americana,cadmium,hall,12.285714285714285
morone americana,lead,hall,32.848
morone americana,mercury,hall,83.12499999999999
morone americana,mercury,karimi,86.2661858770088
morone chrysops,mercury,karimi,97.72916666666667
morone saxatilis,arsenic,hall,128.9904761904762
morone saxatilis,cadmium,hall,9.591836734693878
morone saxatilis,lead,hall,17.474285714285717
morone saxatilis,mercury,hall,203.74107142857142
morone saxatilis,mercury,karimi,189.77438430677256
mugil cephalus,arsenic,hall,105.93111111111111
mugil cephalus,cadmium,hall,9.571428571428571
mugil cephalus,lead,hall,19.013333333333332
mugil cephalus,mercury,adams,37.5
mugil cephalus,mercury,hall,39.1875
mugil cephalus,mercury,karimi,35.58348967369643
mugil curema,arsenic,hall,231.5666666666667
mugil curema,cadmium,hall,8.857142857142858
mugil curema,lead,hall,20.599999999999998
mugil curema,mercury,adams,30
mugil curema,mercury,hall,11.875
mugil gyrans,mercury,adams,21.875
mulloidichtys samoensis,arsenic,hall,379.4666666666667
mulloidichtys samoensis,cadmium,hall,7.428571428571429
mulloidichtys samoensis,lead,hall,11.959999999999999
mulloidichtys samoensis,mercury,hall,20.78125
mustelus californicus,mercury,karimi,326.25
mustelus canis,arsenic,hall,631.7333333333333
mustelus canis,cadmium,hall,41
mustelus canis,lead,hall,35.24
mustelus canis,mercury,hall,237.5
mustelus canis,mercury,karimi,257.9832292131489
mustelus henlei,mercury,karimi,570.2548363095239
mustelus norrisi,mercury,adams,750
mya arenaria,arsenic,hall,140.33333333333334
mya arenaria,cadmium,hall,32.28571428571429
mya arenaria,lead,hall,23.599999999999998
mya arenaria,mercury,hall,16.124999999999996
mya arenaria,mercury,karimi,10.315993451379454
mycteroperca bonaci,arsenic,hall,236.46666666666664
mycteroperca bonaci,cadmium,hall,9.04761904761905
mycteroperca bonaci,lead,hall,18.013333333333332
mycteroperca bonaci,mercury,adams,540.6249999999999
mycteroperca bonaci,mercury,hall,445.1145833333333
mycteroperca bonaci,mercury,karimi,370.3125
mycteroperca interstitialis,arsenic,hall,499.8666666666667
mycteroperca interstitialis,cadmium,hall,10.571428571428571
mycteroperca interstitialis,lead,hall,23.32
mycteroperca interstitialis,mercury,hall,135.375
